aquifer,duration_bin,count,hmf,count_mean,hmf_mean,count_pct,hmf_pct,count_cum_pct,hmf_cum_pct,
cp,0_3_,210,6.9,70,2.3,48.4,2.1,48.4,2.1,
cp,4_7_,79,9.4,19.75,2.4,18.2,2.9,66.6,5,
cp,8_14_,52,19.9,7.428571429,2.8,12,6.1,78.6,11.1,
cp,15_30_,57,56.6,3.5625,3.5,13.1,17.2,91.7,28.3,
cp,31_60_,25,100.5,1.470588235,5.9,5.8,30.6,97.5,58.9,
cp,60+,11,135.1,1.1,13.5,2.5,41.1,100,100,41.1
et,0_3_,254,0.4,84.66666667,0.1,52.9,1.9,52.9,1.9,
et,4_7_,99,0.7,24.75,0.2,20.6,3.2,73.5,5.1,
et,8_14_,49,1.9,7,0.3,10.2,8.3,83.7,13.4,
et,15_30_,41,4.9,2.5625,0.3,8.5,21.5,92.2,34.9,61.1
et,31_60_,27,9,1.5,0.5,5.6,39.6,97.8,74.5,
et,60+,10,5.8,1.111111111,0.6,2.1,25.4,99.9,99.9,
hp_cs,0_3_,717,0.6,239,0.2,66.2,5.4,66.2,5.4,
hp_cs,4_7_,159,1.4,39.75,0.3,14.7,12.5,80.9,17.9,
hp_cs,8_14_,108,2.4,15.42857143,0.3,10,21.4,90.9,39.3,41.2
hp_cs,15_30_,60,2.2,4,0.1,5.5,19.8,96.4,59.1,
hp_cs,31_60_,27,1.6,1.928571429,0.1,2.5,14.6,98.9,73.7,
hp_cs,60+,12,2.9,1.090909091,0.3,1.1,26.3,100,100,
hp_n,0_3_,749,2.4,249.6666667,0.8,55.5,5.2,55.5,5.2,
hp_n,4_7_,263,4.4,65.75,1.1,19.5,9.4,75,14.6,
hp_n,8_14_,176,7.9,25.14285714,1.1,13,17,88,31.6,
hp_n,15_30_,105,12.8,6.5625,0.8,7.8,27.4,95.8,59,49.8
hp_n,31_60_,43,10.5,2.15,0.5,3.2,22.4,99,81.4,
hp_n,60+,14,8.7,1.076923077,0.7,1,18.7,100,100.1,
txg,0_3_,622,4.5,207.3333333,1.5,43.6,2.1,43.6,2.1,
txg,4_7_,406,20.4,101.5,5.1,28.4,9.3,72,11.4,
txg,8_14_,224,44.6,32,6.4,15.7,20.5,87.7,31.9,
txg,15_30_,118,52.7,7.375,3.3,8.3,24.2,96,56.1,51.1
txg,31_60_,44,58.7,2,2.7,3.1,26.9,99.1,83,
txg,60+,14,37.1,1.166666667,3.1,1,17,100.1,100,
mr_me,0_3_,938,13.9,312.6666667,4.6,47.5,3.2,47.5,3.2,
mr_me,4_7_,524,56.2,131,14.1,26.5,12.8,74,16,
mr_me,8_14_,315,117.2,45,16.7,16,26.6,90,42.6,56.6
mr_me,15_30_,159,131.9,9.9375,8.2,8.1,30,98.1,72.6,
mr_me,31_60_,30,74.7,2,5,1.5,17,99.6,89.6,
mr_me,60+,8,46.4,1.333333333,7.7,0.4,10.5,100,100.1,
az,0_3_,179,0.3,59.66666667,0.1,61.1,1.2,61.1,1.2,
az,4_7_,45,0.2,11.25,0.1,15.4,1,76.5,2.2,
az,8_14_,22,0.2,3.142857143,0,7.5,1.1,84,3.3,
az,15_30_,14,0.3,1.272727273,0,4.8,1.4,88.8,4.7,
az,31_60_,13,1,1.3,0.1,4.4,4.6,93.2,9.3,
az,60+,20,20.1,1.052631579,1.1,6.8,90.7,100,100,90.7
