aquifer,duration_bin,count,hmf,count_mean,hmf_mean,count_pct,hmf_pct,count_cum_pct,hmf_cum_pct
cp,0_3_,132,4.6,44.0,1.5,49.1,3.0,49.1,3.0
cp,4_7_,65,10.2,16.25,2.6,24.2,6.8,73.3,9.8
cp,8_14_,38,12.0,5.428571428571429,1.7,14.1,8.0,87.4,17.8
cp,15_30_,14,8.3,1.4,0.8,5.2,5.5,92.6,23.3
cp,31_60_,16,63.9,1.2307692307692308,4.9,5.9,42.4,98.5,65.7
cp,60+,4,51.7,1.0,12.9,1.5,34.3,100.0,100.0
et,0_3_,133,0.4,44.333333333333336,0.1,53.0,2.3,53.0,2.3
et,4_7_,41,1.3,10.25,0.3,16.3,7.9,69.3,10.2
et,8_14_,33,1.8,4.714285714285714,0.3,13.1,11.0,82.4,21.2
et,15_30_,27,4.9,2.076923076923077,0.4,10.8,30.5,93.2,51.7
et,31_60_,14,4.0,1.4,0.4,5.6,25.0,98.8,76.7
et,60+,3,3.7,1.0,1.2,1.2,23.3,100.0,100.0
hp_cs,0_3_,581,0.9,193.66666666666666,0.3,71.6,11.0,71.6,11.0
hp_cs,4_7_,128,1.6,32.0,0.4,15.8,19.5,87.4,30.5
hp_cs,8_14_,62,2.6,8.857142857142858,0.4,7.6,32.3,95.0,62.8
hp_cs,15_30_,32,1.2,2.4615384615384617,0.1,3.9,15.6,98.9,78.4
hp_cs,31_60_,6,1.6,1.2,0.3,0.7,20.1,99.6,98.5
hp_cs,60+,2,0.1,1.0,0.1,0.2,1.3,99.8,99.8
hp_n,0_3_,487,2.6,162.33333333333334,0.9,57.4,8.7,57.4,8.7
hp_n,4_7_,204,5.0,51.0,1.2,24.1,16.4,81.5,25.1
hp_n,8_14_,91,5.7,13.0,0.8,10.7,18.9,92.2,44.0
hp_n,15_30_,48,10.2,3.6923076923076925,0.8,5.7,33.6,97.9,77.6
hp_n,31_60_,10,2.2,1.25,0.3,1.2,7.3,99.1,84.9
hp_n,60+,8,4.6,1.0,0.6,0.9,15.2,100.0,100.1
txg,0_3_,483,5.1,161.0,1.7,51.1,4.3,51.1,4.3
txg,4_7_,257,21.8,64.25,5.4,27.2,18.5,78.3,22.8
txg,8_14_,131,33.9,18.714285714285715,4.8,13.8,28.8,92.1,51.6
txg,15_30_,61,36.6,4.066666666666666,2.4,6.4,31.0,98.5,82.6
txg,31_60_,13,15.2,1.1818181818181819,1.4,1.4,12.9,99.9,95.5
txg,60+,1,5.4,1.0,5.4,0.1,4.6,100.0,100.1
