Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),,MAF,km3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409268973,407477973,280184202,,,,,,
Hoover,Boulder,,NV10122,,NV10122,RECLAMATION,Federal,Federal,0,No,RECLAMATION,No,Hydroelectric,Hydroelectric;Irrigation;Water Supply,Bureau of Reclamation,,36.0163,-114.7374,Nevada,Clark,LAUGHLIN,70,COLORADO RIVER,"Nevada, Congressional District 01",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Concrete,Concrete;Arch;Gravity,Bituminous Concrete,Rock,730,592,730,730,Greater than 100 feet,1244,3250000,1935,1930-1939,,30237000,30237000,28255000,162700,,30.237,37.2973395,190.4874314,4.998354287
Glen Canyon,,,AZ10307,,AZ10307,RECLAMATION,Federal,Federal,0,No,,No,Hydroelectric,Hydroelectric;Other;Irrigation;Recreation,Bureau of Reclamation,,36.9379,-111.4842,Arizona,Coconino,LEES FERRY,15,COLORADO RIVER,"Arizona, Congressional District 02",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Concrete,Concrete;Arch,Bituminous Concrete,Rock,710,579,710,710,Greater than 100 feet,1565,4901000,1963,1960-1969,,29875000,29875000,27000000,160784,,29.875,36.8508125,,
Garrison Dam,Lake Sakakawea,,ND00145,,ND00145,USACE - Omaha District,Federal,Federal,2,No,CENWO,No,Hydroelectric,Hydroelectric;Irrigation;Navigation;Recreation;Flood Risk Reduction,US Army Corps of Engineers,ND00145,47.49862646,-101.4128138,North Dakota,Mercer,STANTON,10,MISSOURI RIVER,"North Dakota, Congressional District 00",Yes,Yes,,Yes,Yes,Yes,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Earth,Earth,Earth,Rock;Soil,,180,210,210,Greater than 100 feet,11300,66500000,1953,1950-1959,,26000000,26000000,18500000,133000,,26,32.071,,
Oahe Dam,Lake Oahe,,SD01095,,SD01095,USACE - Omaha District,Federal,Federal,2,No,CENWO,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Navigation;Recreation;Hydroelectric,US Army Corps of Engineers,SD01095,44.45150605,-100.4010307,South Dakota,Stanley,PIERRE,,MISSOURI RIVER,"South Dakota, Congressional District 00",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Earth,Earth,Earth,Rock;Soil,,200,245,245,Greater than 100 feet,9300,92000000,1966,1960-1969,,23600000,23600000,19300000,376000,,23.6,29.1106,,
Fort Peck Dam,Fort Peck Lake,,MT00025,,MT00025,USACE - Omaha District,Federal,Federal,0,No,CENWO,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Navigation;Recreation;Hydroelectric,US Army Corps of Engineers,MT00025,48.00222808,-106.4179871,Montana,McCone,NASHUA,23,MISSOURI RIVER,"Montana, Congressional District 02",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Earth,Earth,Earth,Rock;Soil,,220,256,256,Greater than 100 feet,21026,125628000,1940,1940-1949,,19100000,19100000,15400000,93000,,19.1,23.55985,,
Grand Coulee,,,WA00262,,WA00262,RECLAMATION,Federal,Federal,0,No,RECLAMATION,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation,Bureau of Reclamation,,47.9566,-118.9805,Washington,Okanogan,COULEE DAM CITY,1,COLUMBIA RIVER,"Washington, Congressional District 04",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,No,N/A,Concrete,Concrete;Gravity,Bituminous Concrete,Rock,550,380,550,550,Greater than 100 feet,5673,11975520,1941,1940-1949,1974,9562000,9562000,9562000,82300,,9.562,11.794727,,
Herbert Hoover Dike - CIZ G,HHD CIZ G,L-47,FL36001,,FL36001G,USACE - Jacksonville District,Federal,Federal,,No,CESAJ,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation;Navigation;Fish and Wildlife Pond;Recreation;Water Supply,US Army Corps of Engineers,FL36001G,27.1083797,-80.6654108,Florida,Martin,OKEECHOBEE,15,Kissimmee River Basin,"Florida, Congressional District 21",Yes,Yes,FDEP,Yes,Yes,Yes,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Earth,Earth,Earth,Soil,35,17,29,35,25-50 feet,92300,6830000,1965,1960-1969,2022,8519000,8519000,4596000,467200,,8.519,10.5081865,,
Kentucky Dam,Kentucky Lake,,KY05017,,KY05017,TVA,Federal,Federal,0,No,TVA,No,Flood Risk Reduction,Flood Risk Reduction;Navigation;Recreation;Hydroelectric,Tennessee Valley Authority,KY5017,37.012498,-88.270105,Kentucky,Livingston,CALVERT CITY,4,TENNESSEE RIVER,"Kentucky, Congressional District 01",No,No,,No,No,No,Yes,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,US Army Corps of Engineers,No,N/A,Concrete,Concrete;Earth;Gravity,Earth,Rock;Soil,206,130,206,206,Greater than 100 feet,8422,6938100,1944,1940-1949,,7535400,7535400,6127470,160300,,7.5354,9.2949159,,
Sam Rayburn Dam,,Mcgee Bend Reservoir,TX00011,,TX00011,USACE - Fort Worth District,Federal,Federal,0,No,CESWF,No,Flood Risk Reduction,Flood Risk Reduction;Fish and Wildlife Pond;Recreation;Hydroelectric;Water Supply,US Army Corps of Engineers,TX00011,31.06445615,-94.09252964,Texas,Jasper,EVADALE,,ANGELINA RIVER,"Texas, Congressional District 36",No,No,,No,No,No,Yes,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers;Federal Energy Regulatory Commission,US Army Corps of Engineers,US Army Corps of Engineers,US Army Corps of Engineers,,,Earth,Earth,Earth,Rock;Soil,120,113,130,130,Greater than 100 feet,12400,6000000,1965,1960-1969,,6520000,6520000,2898200,114500,,6.52,8.04242,,
